Date,Day,Quantity,Total,Profit,Category
10-01-2024,Wednesday,120,13510,1678,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Extras, Non Veg Momos, Frappes, Beverages"
11-01-2024,Thursday,107,10790,1378,"Veg Shawarma, Non Veg Shawarma, Platters, Open Veg Shawarma, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Veg Grillers, Coolers, Frappes, Beverages"
12-01-2024,Friday,132,15855,1364,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Non Veg Shawarma,  Veg Salad, Non Veg Salad, Fries, Extras, Non Veg Momos, Veg Grillers, Coolers, Beverages"
13-01-2024,Saturday,125,13645,1345,"Veg Shawarma, Non Veg Shawarma, Platters, Open Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Coolers, Frappes, Beverages"
14-01-2024,Sunday,154,18755,4687,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Non Veg Shawarma, Non Veg Salad, Extras, Non Veg Momos, Veg Grillers, Non Veg Rice Bowl, Frappes, Beverages"
15-01-2024,Monday,127,15250,1287,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Non Veg Salad, Fries, Veg Momos, Veg Rice Bowl, Frappes, Beverages"
16-01-2024,Tuesday,113,11625,978,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Coolers, Frappes, Beverages"
17-01-2024,Wednesday,131,15455,1576,"Non Veg Shawarma, Platters, Open Non Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Veg Momos, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
18-01-2024,Thursday,107,10990,1037,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Momos, Veg Grillers, Coolers, Beverages"
19-01-2024,Friday,112,12630,1538,"Veg Shawarma, Non Veg Shawarma, Desserts, Non Veg Salad, Extras, Veg Momos, Non Veg Momos, Veg Rice Bowl, Coolers, Beverages"
20-01-2024,Saturday,129,14850,1387,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Grillers, Veg Rice Bowl, Coolers, Beverages"
21-01-2024,Sunday,141,17345,4983,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Veg Momos, Non Veg Momos, Veg Grillers, Coolers, Frappes, Beverages"
22-01-2024,Monday,112,12655,1456,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Veg Momos, Veg Grillers, Veg Rice Bowl, Coolers, Beverages"
23-01-2024,Tuesday,100,9925,939,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Extras, Veg Momos, Coolers, Frappes, Beverages"
24-01-2024,Wednesday,116,13165,1789,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
25-01-2024,Thursday,110,11125,1265,"Veg Shawarma, Platters, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Grillers, Frappes, Beverages"
26-01-2024,Friday,123,14755,1237,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Fries, Non Veg Momos, Non Veg Rice Bowl, Beverages"
27-01-2024,Saturday,112,12440,1435,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Extras, Non Veg Momos, Frappes, Beverages"
28-01-2024,Sunday,167,19540,5438,"Veg Shawarma, Non Veg Shawarma, Platters, Open Non Veg Shawarma, Non Veg Salad, Non Veg Momos, Veg Grillers, Coolers, Frappes, Beverages"
29-01-2024,Monday,102,10230,1045,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma,  Non Veg Salad, Extras, Non Veg Momos, Veg Grillers, Coolers, Frappes, Beverages"
30-01-2024,Tuesday,98,9535,989,"Veg Shawarma, Non Veg Shawarma, Desserts, Veg Salad, Fries, Veg Momos, Non Veg Momos, Veg Rice Bowl, Coolers, Frappes, Beverages"
31-01-2024,Wednesday,123,14510,1254,"Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Fries, Non Veg Momos, Coolers, Frappes, Beverages"
01-02-2024,Thursday,108,11245,1678,"Veg Shawarma, Non Veg Shawarma, Platters, Veg Salad, Non Veg Salad, Fries, Extras, Veg Momos, Veg Rice Bowl, Coolers, Frappes, Beverages"
